,City,cityID,clusterID,Typology,Country,Car_Modeshare_(%),Public_Transit_Modeshare_(%),Bicycle_Modeshare_(%),Walking_Modeshare_(%),Gasoline_Pump_Price_(USD/liter),Road_Deaths_Rate_(per_1000),Subway_Length_(km),Subway_Length_Density_(per_km),Subway_Stations_per_Hundred_Thousand,Subway_Ridership_per_Capita,Subway_Age_(years),BRT_Length_(km),BRT_System_Length_Density_(per_km),BRT_Stations_per_Hundred_Thousand_Persons,BRT_Fleet_per_Hundred_Thousand_Persons,BRT_Annual_Ridership_per_Capita,BRT_Age_(years),Bikeshare_Stations,Bikeshare_Stations_per_Hundred_Thousand_Persons,Bikeshare_Number_of_Bikes,Bikeshare_Bicycles_per_Hundred_Thousand_Persons,Bikeshare_Age_(years),Congestion_(%),Congestion_AM_Peak_(%),Congestion_PM_Peak_(%),Traffic_Index,Travel_Time_Index,Inefficiency_Index,Population,Land_Area_(sq._km),Population_Density_(per_sq._km),Population_Change_1990_–_2000,Population_Change_2000_–_2010,Population_Change_2010_–_2020,Population_Change_2020_–_2025,Urbanization_Rate_2015_(%),Urbanization_Rate_Change_2015_–_2025_(pp),GDP_per_Capita_(USD),Unemployment_Rate_(%),Cost_of_Living_Index,Rent_Index,Grocery_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Gini_Coefficient,Poverty_Rate_(%),Life_Expectancy_(years),Safety_Index,Internet_Penetration,Digital_Penetration,Innovation_Index,Smartphone_Penetration_(%),CO2_Emissions_per_Capita_(metric_tonnes),Pollution_Index_,Street_length_total_(m),Street_Length_Density_(m/sq._km),Street_Length_Average_(m),Intersection_Count,Intersection_Density_(per_sq._km),Degree_Average,Streets_per_Node,Circuity,Self-Loop_Proportion,Highway_Proportion,Metro_Propensity_Factor,BRT_Propensity_Factor,BikeShare_Propensity_Factor,Development_Factor,Sustainability_Factor,Population_Factor,Congestion_Factor,Sprawl_Factor,Network_Density_Factor,Latitude,Longitude,Continent
284,Baltimore(MD),285,7,Auto Sprawl,United States,85.0,6.1,0.3,2.6,0.66,8.5,24.9,0.013408723999999999,0.615384615,6.417582417999999,34,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.197802198,0.0,0.0,2.0,19.0,33.0,46.0,148.97,36.9,150.22,2275000,1857,1200,233673,332204,399059,195708,81.6,1.7,58789.0,7.2,77.33,48.58,76.48,78.28,150.69,0.44299999999999995,22.9,78.8,31.19,81.0,0.78,45.0,72.0,14.3,26.489684215674423,7468900.982999999,7604832752.0,148.0133367,28660.0,1018.199702,5.021972378,2.8699064030000003,1.0677361,0.00790954,0.041018041,0.1608481108,0.1768672965,0.36063717799999995,0.7962638195,0.3559643803,0.08195562349999999,0.1800854268,0.7221625923,0.4251872575,39.2908816,-76.610759,North America
9,Melbourne,10,8,Auto Innovative,Australia,80.0,14.0,2.0,4.0,1.11,5.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.264222503,600.0,15.17067004,2.0,33.0,55.0,58.0,143.12,35.57,138.17,3955000,2543,1500,316060,462816,715525,350883,89.4,1.2,39358.0,5.5,79.04,44.3,72.93,76.07,139.62,0.46308547901806574,16.74591641317642,82.0,60.23,86.9,0.74,50.0,77.0,10.2,26.77,8636838.53,8653670487.0,107.5035914,48571.0,1001.9488560000001,4.948412698,2.8763048760000003,1.036985249,0.0016255229999999998,0.014488998999999999,0.0603867839,0.1683348531,0.3636753686,0.7861742392000001,0.3978941712,0.08226741809999999,0.333172875,0.5393552118,0.5589103703,-37.814217600000006,144.9631608,Oceania
185,Niamey,186,1,Congested Emerging,Niger,13.109683345159226,9.0,2.0,60.0,1.02,26.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1435000,130,11100,248392,541978,960996,741379,18.7,3.5,427.4,,48.990605409418386,27.9039597006662,45.41650697010026,33.856207684354324,30.227248368627684,0.4558177357799522,18.6,61.8,50.274073511044655,2.4,0.04,25.930025317822903,19.824655516052403,0.106860921,91.94087519498962,2134329.2,3496994771.0,97.86011919,13033.0,1638.45145,6.161297392000001,3.187449777,1.019423308,9.49e-05,0.0,0.0362202508,0.010914558799999998,0.3431610039,0.0,0.2736455259,0.2483983023,0.6554640043,0.2756052615,0.4103117074,13.524834,2.109823,Africa
327,Hanoi,328,12,MetroBike Emerging,Vietnam,8.0,10.0,2.0,25.684512641406194,0.9,24.5,0.0,0.0,0.0,0.0,0,14.5,0.023791677461753244,0.14300000000000002,2.0151756544255566,0.149,1.0,0.0,0.0,0.0,0.0,0.0,42.18022489902789,65.53748835113788,75.32153336675286,160.6,40.78,189.18,7445000,868,8600,520495,1149423,1391900,608994,33.6,6.3,3425.0,6.84,41.73,17.15,37.25,22.72,23.47,0.34,5.4,76.0,54.64,50.1,0.31,35.0,35.0,1.700368284,89.66,8079366.816000001,1156633569.0,300.3705412,15881.0,143.1589375,5.205794631,2.870472944,1.097533266,0.0009207730000000001,0.022938148,0.0780280028,0.0845106353,0.3588676925,0.1576759725,0.5090572885,0.2925636585,0.6246225470000001,0.6667099834,0.2391131189,21.029449800000002,105.85444409999998,Asia
66,Urumqi,67,12,MetroBike Emerging,China,21.7,54.7,28.485943217235622,24.87659088091289,1.16,18.8,0.0,0.0,0.0,0.0,0,66.0,0.134146341,2.53776435,9.123867069,34.44108761,7.0,0.0,0.0,0.0,0.0,0.0,40.936113285841735,63.37978061429012,74.27810979352051,,,,3310000,492,6700,556511,1249115,1610288,491541,55.6,9.8,12189.0,3.4,39.978438063375094,16.26983476619611,37.40931606015277,24.192616061830464,50.75911028638663,0.32,1.2525,76.1,64.69,50.1,0.43,35.92696692910035,58.0,7.550916485,90.72341573926494,8891135.865,216952973.8,546.9448736,9567.0,24.40104134,4.736408567,2.680313015,1.064156975,0.00034782599999999997,0.060127854,0.10333432099999999,0.4472613519,0.3925514084,0.2872347043,0.8014635634999999,0.3229604384,0.5860188047,0.7918220423000001,0.0756169035,43.419754,87.319461,Asia
296,Milwaukee(WI),297,7,Auto Sprawl,United States,88.6,3.6,0.5,2.7,0.64,9.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.9787985869999998,200.0,14.13427562,4.0,13.0,24.0,32.0,162.77731791614696,34.90992083990305,176.41416642078218,1415000,1414,1000,82748,176893,261385,130360,81.6,1.7,56697.0,7.3,72.99,33.05,71.23,74.87,123.45,0.43,26.8,80.0,35.6,79.8,0.78,42.0,72.0,15.1,41.81504945678236,5061233.232,9799272238.0,139.6202271,20332.0,1936.1431870000001,5.5795459670000005,3.2801372030000002,1.035583156,0.0031870320000000002,0.02288307,0.0277873421,0.1667408345,0.39086192560000005,0.7300539272,0.32446722170000003,0.0441476341,0.098736216,0.6809105529999999,0.5828463687,43.0349931,-87.92249699999999,North America
89,Paris,90,9,MassTransit Heavyweight,France,12.0,33.0,3.0,47.0,1.84,2.8,214.0,0.07521968400000001,2.778288868,140.3863845,117,41.0,0.014411248,0.49678012899999996,0.653173873,2.470101196,25.0,1229.0,11.30634775,14500.0,133.3946642,11.0,38.0,68.0,66.0,150.15,38.73,117.34,10870000,2845,3700,408940,777107,1164656,481828,79.5,2.2,71671.0,8.9,83.82,45.54,77.1,84.29,97.36,0.389954500030531,13.348564552790673,83.0,47.97,83.3,0.72,54.0,49.0,7.9,67.65,2571981.812,14853757254.0,97.79398524,15863.0,5775.218621,4.070465213,3.1485354410000004,1.0241246309999998,0.0015180270000000001,0.008955102,0.7672363123999999,0.37077962200000003,0.5630012436999999,0.7176626931,0.4014493318,0.17920760940000002,0.5876993408,0.0827914318,0.8604962815999999,48.856696899999996,2.3514616000000004,Europe
321,Montevideo,322,5,Hybrid Moderate,Uruguay,31.28177236577446,41.1376395271259,0.27195630378502955,20.458939689123596,1.74,16.6,0.0,0.0,0.0,0.0,0,6.0,0.019292605,1.3026819920000001,0.0,5.747126437,6.0,0.0,0.0,0.0,0.0,0.0,27.994067746695983,51.09631397564051,55.22959944426562,236.03,55.12,246.31,1305000,311,4200,59144,54201,156486,83406,95.3,1.2,14010.0,12.294047583172228,67.17,19.08,54.23,63.92,36.99,0.43,10.1,77.0,43.2,60.5,0.54,35.0,46.57518631472066,2.231639431,58.63,4320734.938999999,4413598002.0,128.1774879,19234.0,1021.492423,5.615611614,3.2123274630000003,1.021138135,0.000474641,0.0,0.0888911662,0.2219730719,0.32873541,0.4172862341,0.2222785355,0.023604472799999998,0.5331817422,0.21199281260000002,0.5016696372,-34.9059039,-56.1913569,South America
200,Krakow,201,5,Hybrid Moderate,Poland,27.0,46.0,1.0,25.0,1.41,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.473684211,230.0,30.26315789,10.0,38.0,57.0,70.0,100.57,31.64,82.57,760000,220,3500,20809,712,16318,30691,60.5,0.9,16843.0,10.9,39.58,15.96,30.8,32.66,76.46,0.33,17.76544856923365,77.5,68.61,65.0,0.59,38.0,41.0,8.0,67.78,2526308.7569999998,4715254848.0,164.6018216,8958.0,1866.460239,4.555022312,2.596446914,1.0709765740000001,0.001330869,0.012524013,0.0928085572,0.0818045563,0.5095064088,0.38823451770000006,0.4925328735,0.044496657800000006,0.5409400082,0.3127592591,0.3305748566,50.0619474,19.9368564,Europe
208,Yekaterinburg,209,2,BusTransit Sprawl,Russia,40.5628979319688,33.89708060369923,1.2272561949085776,14.872443617056403,0.73,18.9,12.7,0.024517375,0.6593406589999999,38.02197802,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,56.0,68.0,138.89,35.0,107.01,1365000,518,2600,-46300,44710,81031,39391,74.0,1.3,11279.6,4.731883986999955,34.52,11.23,27.91,36.49,48.54,0.44,9.365933229740058,70.5,48.8,61.4,0.5,35.0,45.0,12.46681628,76.19082852915763,1975651.3159999999,2480086285.0,230.80038739999998,4896.0,1255.325909,4.9941860469999995,2.772609819,1.05730641,0.001034795,0.0,0.19613523579999997,0.11430743060000001,0.4153555557,0.29630434079999995,0.379869478,0.039998063199999996,0.5036758302000001,0.6512549167,0.3577068902,56.839104000000006,60.60825,Europe
119,Pune,120,3,Congested Boomer,India,54.0,12.0,11.0,22.0,1.19,5.2,0.0,0.0,0.0,0.0,0,29.0,0.060542797,0.041531508710592274,0.09844505777285631,3.474503025,3.0,0.0,0.0,0.0,0.0,0.0,,,,236.99,51.11,250.42,5785000,479,12100,1224936,1296609,1630382,905552,32.7,4.3,1861.5,11.589818148628574,26.42,7.55,26.91,19.5,110.53,0.3638432541793928,13.7,68.3,53.7,28.3,0.32,36.0,17.0,1.590272829,78.1,5700998.399,4744294436.0,120.1753494,27097.0,832.1865932,4.852631291000001,2.5951670730000003,1.076220322,0.0016354610000000002,8.73e-05,0.0410207472,0.1540391679,0.45865493479999997,0.1748937699,0.2309489559,0.3337448398,0.48362261289999997,0.1960029134,0.3097509999,18.521428,73.8544541,Asia
198,Cebu,199,1,Congested Emerging,Philippines,15.039374404685491,31.3101576621846,5.5741683627740874,31.724980375023836,0.98,10.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,141.44,32.5,171.92,2580000,207,12500,108609,118013,239335,169316,44.4,0.5,2753.3,,39.75,12.22,38.33,24.9,27.0,0.38,13.0,68.5,50.48,43.0,0.43,28.071721209745952,22.0,1.006838603,76.17,4891006.518999999,121809687.1,224.1730002,12133.0,24.90483025,4.766476535,2.456316711,1.176791429,0.0033886259999999996,0.0,0.0863391017,0.0568312895,0.37925218899999996,0.1643360405,0.35593858159999997,0.09676427380000001,0.649276111,0.2614111635,0.13496483880000001,10.45,123.84,Asia
28,Abidjan,29,1,Congested Emerging,Ivory Coast,13.124446601841523,31.573136998811126,5.854380186905031,29.809052519107784,1.12,24.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4820000,376,12800,925784,1123584,1744878,1074627,54.2,6.3,1552.8,13.0,56.31290091421382,37.83749227456662,52.18870163643528,38.62871005959629,22.762971010257527,0.42,35.9,53.3,50.4779791899652,22.0,0.13,25.445629303214503,20.45614742014139,0.415669842,95.83832196791832,4559948.577,1545901368.0,138.8154457,19056.0,339.017281,5.548965335,2.8846711480000002,1.057061387,0.001235154,0.01375225,0.07866333889999999,0.059569692199999996,0.3491845701,0.0705583857,0.34083077770000003,0.33873271950000006,0.6961593355,0.3824172006,0.31086353440000003,5.4091179,-4.0422099000000005,Africa
300,Austin(TX),301,7,Auto Sprawl,United States,86.8,2.6,0.8,1.8,0.6,12.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.746268657,375.0,22.3880597,5.0,25.0,39.0,59.0,182.18,37.33,281.76,1675000,1355,1000,343914,353889,232059,114104,81.6,1.7,61183.0,5.3,68.91,51.31,65.14,69.0,132.34,0.469,14.5,78.5,65.36,68.1,0.78,46.0,72.0,10.4,36.48,8997826.161,5336646981.0,168.64073019999998,30832.0,593.1040326,5.017709748,2.785262773,1.0746285359999999,0.003487803,0.030032628,0.0328488459,0.14130944439999998,0.3924530839,0.7433349642,0.333925372,0.0681843781,0.26356703309999996,0.7654547073000001,0.3798088783,30.2711286,-97.7436995,North America
31,Yaounde,32,1,Congested Emerging,Cameroon,4.926756712681048,24.156829872285368,5.240034353481543,53.24920372606759,1.19,27.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3205000,231,13900,573985,969008,1100097,577300,54.4,5.2,1495.4,,50.819317762998566,28.623637592220636,43.260502934710146,34.900089270664374,38.88617114875535,0.44,12.2,57.3,49.639133382804744,17.7,0.16,22.17434723701636,22.1079077470763,0.306750488,87.95731580588557,2454761.473,1942897948.0,150.28538469999998,9150.0,791.4813592999999,4.911928992,2.500879945,1.088127198,0.000685422,0.0,0.0752543943,0.0422983871,0.3532698815,0.0503873986,0.3131788927,0.2566570882,0.6920237470999999,0.3078203473,0.2627302579,3.8689867,11.521334399999999,Africa
112,Delhi,113,3,Congested Boomer,India,19.0,42.0,12.0,21.0,1.14,9.1,213.0,0.09847434099999999,0.621721391,36.87585001,15,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.027200311,35.16560212422765,0.34594788115838554,11.0,,,,255.36,52.28,279.66,25735000,2163,11900,6006419,6202838,7338635,3661236,32.7,4.3,12747.0,3.14,28.43,9.73,26.24,22.02,81.69,0.36,13.7,64.0,39.65,28.3,0.32,40.0,17.0,1.590272829,92.48,21456378.58,8119260572.0,93.31051019,134785.0,378.4077795,5.2986256030000005,2.758880814,1.049601706,0.000760508,0.00121591,0.36869810700000005,0.0735684539,0.5138388343,0.18077761469999998,0.24323312579999998,1.0,0.6229909266,0.41611503270000005,0.5674048405,28.627392800000003,77.1716954,Asia
67,Hefei,68,12,MetroBike Emerging,China,42.0,24.6,2.7,20.271035444560052,1.16,18.8,24.6,0.033931034,0.616621984,0.0,1,7.0,0.009655172,0.24128686300000002,1.742627346,5.247989276,8.0,0.0,0.0,0.0,0.0,0.0,38.62300139223304,60.46755465202595,69.01276985179494,,,,3730000,725,5100,432769,1297253,1719219,495298,55.6,9.8,11809.0,3.3,39.80483617064597,15.463104744344658,38.812454243001355,27.12755772190211,61.11525061273824,0.32,1.2525,76.1,64.69,50.1,0.43,32.0,58.0,7.550916485,85.96046089944234,4311202.401000001,4000566882.0,297.2832989,8118.0,927.9468950999999,4.416571558999999,3.3220725860000004,1.0272652740000001,0.0007235519999999999,0.014996283000000001,0.1110300206,0.13160215320000002,0.40625121420000004,0.2632576183,0.628634171,0.2860169608,0.5278574521,0.6109873154,0.3788407821,31.822809399999997,117.2218033,Asia
257,Dubai,258,7,Auto Sprawl,United Arab Emirates,50.0,1.0,0.2,19.0,0.61,10.9,74.6,0.04966711099999999,1.29476584,45.26170799,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,37.0,52.0,164.59,35.24,212.08,3630000,1502,2400,432968,929213,1298623,350943,85.5,2.2,24866.0,0.8,69.1,76.4,56.5,64.61,120.08,0.45387897229784396,20.984216600722515,75.75,78.15,93.2,0.64,49.0,77.93276533710012,18.70823579,56.38,18612629.35,1235601191.0,164.6319466,71667.0,66.38509624,4.582954264,2.9374763760000002,1.077865015,0.005596983000000001,0.040731328,0.23218371940000002,0.144372253,0.3042072708,0.7037777711,0.46778999950000005,0.1556234191,0.3062243858,0.8370469509999999,0.2802994821,25.0750095,55.18876088183319,Asia
268,Chicago(IL),269,8,Auto Innovative,United States,78.0,12.0,0.7,3.1,0.71,7.8,165.4,0.024124853999999998,1.5895481759999999,25.97713664,120,25.0,0.003646441,0.326619488,0.1519301360222163,0.40827436,4.036717656880023,580.0,6.31464344,5800.0,63.146434400000004,5.0,26.0,36.0,57.0,202.03,44.21,222.91,9185000,6856,1300,959513,1211483,1286998,602142,81.6,1.7,59810.0,9.1,84.81,57.45,82.63,85.15,125.15,0.465,20.9,74.075,34.66,78.5,0.78,51.0,72.0,18.5,42.62,12500968.79,8576559898.0,150.51253119999998,46139.0,686.0716191,5.684480563999999,3.2534025260000003,1.027464615,0.002990237,0.023108181000000002,0.5210843941,0.2464327884,0.4286026188,0.8356025588,0.2400850195,0.22367219300000002,0.3001943355,0.7757481945999999,0.7668499645,41.875561600000005,-87.6244212,North America
62,Dalian,63,12,MetroBike Emerging,China,18.988284585271764,43.0,16.426446189380073,19.011486937717702,1.16,18.8,141.0,0.181467181,1.3023255809999998,24.13953488,14,14.0,0.018018018,0.255813953,1.4883720930000002,6.069767442000001,10.0,0.0,0.0,0.0,0.0,0.0,34.70698004591573,53.80367409013098,62.606483323387494,,,,4300000,777,5500,948960,472165,762034,415737,55.6,9.8,17879.0,2.61,39.75525732121365,15.363448377738736,38.88354597800452,27.425497328117714,62.47295977158085,0.32,1.2525,76.1,64.69,50.1,0.43,38.0,58.0,10.3,84.97097360828367,1865682.9409999999,1889744471.0,245.355463,4473.0,1012.896902,5.279872965,3.028979754,1.086058182,0.001954887,0.011084471,0.3595199648,0.16068453189999998,0.3896317794,0.2724601015,0.6888915337999999,0.2498679934,0.5702949624,0.6036670129999999,0.3179753388,38.9181714,121.62829450000001,Asia
326,Ho Chi Minh City,327,12,MetroBike Emerging,Vietnam,11.0,6.0,20.298824245198283,25.854065262783568,0.91,24.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.856658106973356,63.20668549402066,74.25043749867186,106.2,30.62,105.71,10075000,1554,6500,1351564,1800054,2345715,1163380,33.6,6.3,8660.0,4.8,41.57,18.73,42.43,20.03,30.92,0.35,2.1,76.0,40.52,50.1,0.31,37.0,35.0,1.700368284,94.38,14091278.95,1692381819.0,198.1617065,41349.0,120.10136370000001,5.254804143,2.838425159,1.059153193,0.000805061,0.00310574,0.0729645838,0.049171558,0.35683222049999996,0.1603115621,0.6042088170000001,0.39261102200000003,0.5912497687,0.6430379679,0.3419867106,10.7758439,106.70175549999999,Asia
255,Kharkiv,256,6,Hybrid Giant,Ukraine,28.09456363157191,52.038208472783474,1.4194359594640467,17.204572103301743,1.11,13.5,38.1,0.096700508,1.880877743,144.8902821,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.669054371769576,55.20712928925156,66.9120712573307,134.33433288396338,35.275670574078624,113.77941925567325,1595000,394,4100,-101844,-31306,-21628,-10693,69.7,2.4,2905.9,9.965907410923345,26.1,10.55,19.01,18.64,25.37,0.2904360885660666,13.997315870403629,71.3,46.64,41.8,0.43,30.0,27.0,5.959632751,67.02045350618666,2666121.653,4222249375.0,181.82647839999998,8574.0,1583.667186,5.422668356,2.870675373,1.050967745,0.000575105,0.0,0.41447885,0.08376070599999999,0.446058797,0.19284635809999998,0.39218246729999995,0.049043217800000004,0.5879614140999999,0.4358805445,0.4244086835,49.9902794,36.2303893,Europe
184,Managua,185,1,Congested Emerging,Nicaragua,9.63009140489906,66.0713886019357,3.3782907041883194,19.20015489675232,1.02,15.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,990000,155,6400,152009,66726,238958,139614,58.8,3.5,1946.4,,39.28087287276613,12.553447711041741,34.67459804238955,30.760496246331474,49.29217710801494,0.51,14.8,74.8,40.903155713400025,15.5,0.19,26.8662407909906,26.154189604677097,0.7684752840000001,70.92280804972843,2786605.867,2249981427.0,109.10324059999999,14743.0,807.4272195,5.528218644,2.925743425,1.0458465829999999,0.000974255,0.0,0.073273009,0.0604788317,0.36188866159999994,0.1080238859,0.2906996983,0.1243887237,0.6857849153,0.2769123705,0.36528423439999996,12.145990699999999,-86.27466650000001,North America
180,Kathmandu,181,1,Congested Emerging,Nepal,20.031940189470276,29.439210990591683,6.551881384282987,35.226357458407804,1.01,17.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2755000,199,13800,245881,330118,493340,320068,18.6,4.1,685.1,,32.39,4.58,29.24,18.64,26.42,0.35,15.5,69.2,62.76,15.4,0.19,30.87760504193094,17.044317748355336,0.23357626899999998,95.52,1216441.812,12397407256.0,91.07830282,7866.0,10191.533309999999,5.13659392,2.618180047,1.080249013,0.001062175,2.9999999999999997e-05,0.051955763499999995,0.0,0.41637434450000005,0.0176970937,0.293120897,0.20946456100000002,0.6997162266,0.1840012611,0.5501401582,27.708316999999997,85.3205817,Asia
13,Chittagong,14,3,Congested Boomer,Bangladesh,24.883004145097388,34.07484713582933,9.62431542373781,22.758287558715647,1.06,13.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,307.8331525800248,61.70126003276048,352.5469051596289,3250000,111,29200,1285651,1760705,1893991,1068765,34.3,7.3,972.88,24.2569459041483,32.52180882412817,6.808056422662583,28.799881244064082,23.38589304464469,51.66363986899796,0.29,21.3,71.8,38.081659920339646,31.9,0.18,29.0,17.0,0.43873596600000003,90.14997530640089,2585586.017,2205203248.0,148.36667340000002,9959.0,852.8833436000001,4.891469534,2.496702509,1.1028506790000001,0.001231022,0.0,0.0651517968,0.042132981900000005,0.3814241163,0.0951321906,0.2883818185,0.4009221652,0.5719525576,0.17564240609999998,0.19630939760000002,22.3307998,91.84128630000001,Asia
190,Karachi,191,3,Congested Boomer,Pakistan,48.0,52.0,11.094716291418596,28.446281966380013,0.76,14.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,172.66,41.73,162.16,22825000,945,24100,2884035,3468603,4229141,2461452,38.8,5.0,6000.0,17.56,28.57,6.6,26.66,21.02,44.8,0.34,50.5,66.4,33.92,14.8,0.24,34.0,11.0,0.8464394740000001,93.28,9612540.833999999,707510490.9,133.52605690000001,43074.0,73.60285934,5.588909333999999,3.010120442,1.039720045,0.00025441099999999996,0.013798921,0.0840738151,0.0792759624,0.41887513340000004,0.0642513862,0.2960237738,0.688797463,0.5915941094,0.329516255,0.3593647985,24.8667795,67.0311286,Asia
263,Glasgow,264,10,MassTransit Moderate,United Kingdom,68.07,21.1,0.95,8.92,1.69,1.0,10.4,0.02826087,1.214574899,10.36437247,121,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.510121458,502.0773604285961,50.78553649017487,4.0,29.0,50.0,62.0,187.17,45.11,236.58,1235000,368,3300,-46568,-30497,79971,83468,82.6,2.2,41561.0,9.0,67.96,27.63,54.29,82.5,114.98,0.387179005058528,14.188521739355267,81.2,53.48,89.8,0.77,43.0,68.0,5.09,41.112224687084264,3190218.505,9619653875.0,102.5233315,17915.0,3015.358935,4.783255737,2.576197207,1.0799298940000002,0.008794952,0.02288829,0.3947951938,0.16956118469999998,0.4447364761,0.707717542,0.3066242883,0.0218225522,0.3873319273,0.22125074260000002,0.4745930483,55.8609825,-4.248878700000001,Europe
4,Huambo,5,1,Congested Emerging,Angola,10.755649105924519,34.18648613195439,1.306759058563288,43.860872669436645,0.76,26.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,590000,130,4600,251285,460941,627198,330972,44.1,7.2,3582.6,,46.333775515009556,18.05697305673335,35.80385667512179,33.41839241238074,57.39790007233255,0.44671984025046396,18.7,52.4,43.10381356206567,29.5,0.11,24.826070860293314,15.107975361639777,1.3844963890000002,81.54934977849778,524358.9636,424936578.9,198.6208195,1574.0,810.3925142999999,5.581714286,3.023428571,1.055167333,0.00020475,0.0,0.0748224312,0.0372568198,0.3429578511,0.0432311287,0.34360134729999997,0.2063260331,0.6876457559999999,0.4582154864,0.3136139722,-12.607631800000002,15.741103899999999,Africa
19,Santa Cruz,20,2,BusTransit Sprawl,Bolivia,49.21957409988839,37.27695117398473,0.6016816094072357,16.55573856964166,0.54,23.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.776191701332102,52.55852876682063,52.46836452853897,201.11041404066955,44.433825659911676,211.28190209034506,2190000,596,3700,437473,599428,594677,290874,68.5,3.7,2457.6,6.766239590372502,43.26545505655987,11.758352486352985,39.87241739342326,38.36292702263861,27.197329709770383,0.51,29.0,70.7,26.502355743546822,41.9,0.38,28.841842976144985,43.85425908889664,1.8945117040000001,75.82479418528138,4633985.594594569,4551755616.308218,108.81654536531181,27252.887584792854,1110.3253053175047,5.245751563764216,2.9867899865629566,1.0827785889045494,0.001515194029172812,0.015138727110753845,0.060212173,0.10581880199999999,0.3913879529,0.23957100010000001,0.2795119858,0.1510075381,0.5594520998,0.7215776742,0.38269591799999997,-17.333333,-61.5,South America
92,Lille,93,10,MassTransit Moderate,France,57.0,10.0,2.0,32.0,1.78,4.1,45.0,0.101580135,5.660377358,99.05660377,34,6.0,0.013544018,5.188679245,3.4905660380000003,0.943396226,10.0,215.0,20.28301887,1100.0,103.7735849,7.0,22.0,48.0,47.0,106.7511269533925,29.753386848560147,111.79909319137606,1060000,443,2400,42292,30988,141404,76129,79.5,2.2,37835.0,14.6,74.24,23.79,63.6,71.1,99.31,0.3016021178317857,20.469747973580407,82.4,54.62231299800219,83.3,0.72,40.0,49.0,6.8,57.68520471479844,935264.1582,12500218991.0,95.78698875,5931.0,13365.442140000001,4.538837106,2.905459387,1.055629008,0.005280656999999999,0.015071572,0.43351556939999997,0.3614291947,0.5444178360999999,0.6440127843,0.40654935659999997,0.0240705062,0.3092808487,0.0,0.6582481705,50.636565399999995,3.0635282000000004,Europe
