,City,cityID,clusterID,Typology,Country,Car_Modeshare_(%),Public_Transit_Modeshare_(%),Bicycle_Modeshare_(%),Walking_Modeshare_(%),Gasoline_Pump_Price_(USD/liter),Road_Deaths_Rate_(per_1000),Subway_Length_(km),Subway_Length_Density_(per_km),Subway_Stations_per_Hundred_Thousand,Subway_Ridership_per_Capita,Subway_Age_(years),BRT_Length_(km),BRT_System_Length_Density_(per_km),BRT_Stations_per_Hundred_Thousand_Persons,BRT_Fleet_per_Hundred_Thousand_Persons,BRT_Annual_Ridership_per_Capita,BRT_Age_(years),Bikeshare_Stations,Bikeshare_Stations_per_Hundred_Thousand_Persons,Bikeshare_Number_of_Bikes,Bikeshare_Bicycles_per_Hundred_Thousand_Persons,Bikeshare_Age_(years),Congestion_(%),Congestion_AM_Peak_(%),Congestion_PM_Peak_(%),Traffic_Index,Travel_Time_Index,Inefficiency_Index,Population,Land_Area_(sq._km),Population_Density_(per_sq._km),Population_Change_1990_–_2000,Population_Change_2000_–_2010,Population_Change_2010_–_2020,Population_Change_2020_–_2025,Urbanization_Rate_2015_(%),Urbanization_Rate_Change_2015_–_2025_(pp),GDP_per_Capita_(USD),Unemployment_Rate_(%),Cost_of_Living_Index,Rent_Index,Grocery_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Gini_Coefficient,Poverty_Rate_(%),Life_Expectancy_(years),Safety_Index,Internet_Penetration,Digital_Penetration,Innovation_Index,Smartphone_Penetration_(%),CO2_Emissions_per_Capita_(metric_tonnes),Pollution_Index_,Street_length_total_(m),Street_Length_Density_(m/sq._km),Street_Length_Average_(m),Intersection_Count,Intersection_Density_(per_sq._km),Degree_Average,Streets_per_Node,Circuity,Self-Loop_Proportion,Highway_Proportion,Metro_Propensity_Factor,BRT_Propensity_Factor,BikeShare_Propensity_Factor,Development_Factor,Sustainability_Factor,Population_Factor,Congestion_Factor,Sprawl_Factor,Network_Density_Factor,Latitude,Longitude,Continent
109,Tegucigalpa,110,1,Congested Emerging,Honduras,11.0,80.0,3.0,5.0,1.03,17.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1155000,148,7800,214746,258569,436291,242415,54.7,5.5,2137.8,,39.99531573604462,12.993832297586184,35.39903820459883,31.53547919184708,49.83068029048815,0.51,61.0,74.6,40.20055924676167,18.6,0.29,25.0,26.121331551578855,1.15489309,71.31001692860198,2407355.316,1959026280.0,129.5949244,10635.0,813.7669861,5.119624248,2.723910172,1.147129134,0.00206422,0.0,0.1092181938,0.1044975375,0.3626453212,0.123801558,0.2559770165,0.1568710484,0.7322213479,0.372441222,0.2731691667,14.1056861,-87.204676,North America
107,Conakry,108,1,Congested Emerging,Guinea,14.473875395672094,40.62847679945503,5.491185036605124,34.13908426462139,0.88,27.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1685000,161,10500,326214,494434,917287,562928,37.2,5.2,735.7,,47.56111288636864,25.825278911516197,43.78006535078652,32.70751626665298,32.33082255197201,0.340025356492625,35.4,59.0,49.927185614633906,7.9,0.1,25.57612088918056,18.754067330768663,0.19242294100000001,92.06597805847892,1419842.3869999999,1136547619.0,116.06657299999999,7223.0,800.4744953,5.702406481000001,2.9231594,1.031449314,0.00025069999999999997,0.0,0.0691673245,0.0403132188,0.3427918343,0.022524452,0.2804912198,0.2375389563,0.6922101479,0.37751851159999994,0.3270206773,9.5170602,-13.6998434,Africa
196,Manila,197,3,Congested Boomer,Philippines,18.0,30.9,9.710990426958592,30.3,0.98,10.5,50.3,0.030821078,0.191888356,17.54906236,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,292.66,58.85,289.71,22930000,1632,14100,1985464,1695547,2774275,1849654,44.4,0.5,14222.0,12.5,40.94,16.38,37.12,25.14,44.52,0.4,13.0,68.5,39.28,43.0,0.43,37.0,22.0,1.006838603,92.91,1051794.584,12687408907.0,89.72059918,6804.0,12062.63,5.600757371,3.202461455,1.022341109,0.0,0.0,0.22379935550000002,0.0746149399,0.4111688459,0.19993036739999998,0.11077723939999999,0.4527494978,0.6374680487,0.18501519030000002,0.8352774162000001,14.590733199999999,120.98096740000001,Asia
156,Beirut,157,5,Hybrid Moderate,Lebanon,36.555657853957086,19.204544026116878,3.6087230648018593,24.143228899071246,0.86,22.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.272829534825053,34.931522813696574,42.90349989515424,168.21,35.62,141.08,2225000,673,3300,194157,496695,318600,124739,87.8,1.2,7144.0,17.206275856370276,63.36,41.97,46.22,60.84,56.66,0.3873493737316901,14.65352418714858,74.9,51.73,75.6,0.48,33.0,52.0,4.271123267,87.06,580829.9962,13876292357.0,82.89282092,4283.0,23890.45409,4.636702478,3.100197325,1.026704255,0.0,0.016441997,0.025690746299999997,0.1161126376,0.33962881640000003,0.3908192239,0.325822753,0.07870171990000001,0.49642739399999997,0.338769056,0.8652803782999999,33.8959203,35.478429999999996,Asia
141,Turin,142,10,MassTransit Moderate,Italy,64.0,28.0,1.0,7.0,2.01,5.6,13.2,0.035106383,1.37704918,23.21311475,11,0.0,0.0,0.0,0.0,0.0,0.0,136.0,8.918032787000001,1200.0,78.68852459,7.0,25.0,47.0,44.0,117.21,30.07,99.86,1525000,376,4100,-80586,-74087,42283,71441,69.0,1.9,39445.0,11.3,70.88,20.65,62.21,71.51,86.28,0.32040652828444927,13.591183120613533,82.7,46.04,58.5,0.72,41.0,60.0,8.1,77.26,2219104.236,9731530931.0,100.4574122,12922.0,4385.341966,4.595477032,3.134134276,1.062587285,0.001168763,0.014979801000000001,0.1597181038,0.11804105849999999,0.4795257079,0.5905326232,0.4429369083,0.048395619800000005,0.3283104164,0.1522093481,0.5525766557999999,45.06775510000001,7.682489200000001,Europe
79,Prague,80,9,MassTransit Heavyweight,Czech Republic,33.0,43.0,1.0,23.0,1.53,2.3,65.2,0.21879194600000001,4.420289855,326.1594203,43,10.0,0.033557047,0.0,0.0,3.913043478,0.0,0.0,0.0,0.0,0.0,0.0,28.0,54.0,46.0,120.68,37.04,96.03,1380000,298,4600,-40021,92786,108503,56209,73.0,0.5,28999.0,3.8,44.15,19.86,36.94,33.09,81.25,0.3114926511653858,8.6,78.5,69.05,74.1,0.66,46.0,59.04113479795302,13.0,38.37,5022813.186000001,5556191299.0,128.6218838,22841.0,1106.1911109999999,4.815632965,2.762779666,1.066946778,0.003925547,0.0,0.7854367301,0.18947470800000002,0.43879013640000003,0.5112685909,0.46725781380000003,0.017661128999999998,0.398725561,0.3045523471,0.3793951918,50.0874654,14.4212535,Europe
0,Kabul,1,1,Congested Emerging,Afghanistan,17.7,49.6,0.0,32.7,0.65,15.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3650000,259,14100,631001,1088568,1083559,990357,26.7,4.7,617.9,38.0,27.37959002385518,4.8931110631105925,26.261204010859167,17.368638288561527,57.43746931925364,0.29,27.6,60.5,53.67422333877752,12.3,0.2971072721347291,30.847488265566984,15.778670098709327,0.6931834109999999,104.2,4374731.818,4185927860.0,122.6720828,20705.0,956.8421641000001,5.23096638,2.688828584,1.043663017,0.000778165,0.0,0.079424504,0.012067488400000001,0.373602215,0.029560575899999997,0.2214708641,0.3102680074,0.7072857991,0.2118236355,0.3305749841,34.5260109,69.1776838,Asia
252,Adana,253,5,Hybrid Moderate,Turkey,38.348335989743276,23.733022577313264,3.4927765292914765,22.715427879576872,1.47,11.4,13.9,0.08527607400000001,1.155555556,12.44444444,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,36.0,190.54054445598652,41.470680266966966,193.02402876477638,1125000,163,6900,216411,299771,439806,189038,73.4,4.3,14117.0,16.748799664388773,57.05502830394638,26.397309200866264,44.098547289007904,53.64271128379893,53.09654305382961,0.3817166359113624,15.295454703686486,75.8,56.55195916827478,46.3,0.48,34.0,59.0,4.243452638,79.69938953608342,3610912.789,3563740322.0,87.14433799,25560.0,986.9361377999999,5.64403551,2.978435108,1.053201147,0.000496708,0.007129544,0.18773398089999999,0.1040854274,0.3612090561,0.3627529203,0.36997379259999996,0.113786409,0.3606146363,0.250854023,0.4104668272,36.9936175,35.3258349,Asia
171,Ciudad Juarez,172,2,BusTransit Sprawl,Mexico,59.0,36.1,0.8697793717976315,25.123408244522693,0.71,21.0,0.0,0.0,0.0,0.0,0,25.0,0.068870523,2.408759124,4.504,12.160966,5.0,0.0,0.0,0.0,0.0,0.0,30.972326357597552,60.34701789475103,62.49344410970323,134.25090508015143,31.200026428106455,117.60933936609236,1370000,363,3800,416325,107595,159266,126109,79.2,2.6,14506.0,5.9,34.04201609365153,9.21554998874964,32.23757492228959,28.797226098189917,62.30442588396714,0.46,40.0,76.7,33.35,49.2,0.5,35.715800579098385,35.0,2.6,69.06305605599796,8367980.041,7751045142.0,109.21832020000001,43787.0,926.2743344,5.678831819,3.1195267,1.041390123,0.0019294079999999999,0.016084042,0.057550702599999996,0.3432433663,0.4139831737,0.298345507,0.229107178,0.09389964560000001,0.549812871,0.6468292401,0.4897893512,31.709796100000002,-106.45558179999999,North America
207,Novosibirsk,208,2,BusTransit Sprawl,Russia,61.49519468077046,22.754795675262343,1.0810277241088462,15.21357190992919,0.7,18.9,15.9,0.025562701,0.872483221,58.85906039999999,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,53.0,70.0,143.33061952148353,35.23082361843333,137.03220178550492,1490000,622,2400,-3617,45525,76143,41161,74.0,1.3,11279.6,4.001168995638466,31.14,10.33,27.1,27.97,51.73,0.44,2.116375413341606,70.5,50.42,61.4,0.5,34.0,45.0,12.46681628,76.2531343564051,2425929.401,2491793762.0,210.12814210000002,6582.0,1027.1501560000002,5.240351088,2.782373452,1.058749945,0.000458884,0.0,0.2400030477,0.1133858315,0.4240061503,0.2817717656,0.27245684,0.0426319472,0.5315126595,0.666205909,0.3771724257,55.0282171,82.9234509,Europe
